hour,hour_sin,hour_cos,day_of_week,day_sin,day_cos,month,month_sin,month_cos,is_weekend,road_type,city_zone,weather_condition,temperature_c,vehicle_count,average_speed_kmh,signal_cycle_time,road_capacity_utilization,incident_reported,school_zone,construction_zone,public_event_nearby,congestion_level
0,0.0,1.0,4,-0.43388,-0.90097,6,0.0,-1.0,0,highway,industrial,clear,27.62,1043,107.76,148.9,0.204,0,1,1,0,low
9,0.70711,-0.70711,0,0.0,1.0,2,0.86603,0.5,0,highway,CBD,clear,8.46,5362,86.37,141.7,0.9153,0,0,0,0,severe
23,-0.25882,0.96593,5,-0.97493,-0.22252,10,-0.86603,0.5,1,expressway,industrial,fog,16.42,716,77.85,79.3,0.1971,0,1,0,0,low
23,-0.25882,0.96593,5,-0.97493,-0.22252,10,-0.86603,0.5,1,local,CBD,clear,26.76,890,35.31,150.4,0.0654,0,0,0,1,low
10,0.5,-0.86603,1,0.78183,0.62349,6,0.0,-1.0,0,expressway,CBD,clear,23.04,3039,107.6,63.5,0.7796,0,0,0,0,severe
13,-0.25882,-0.96593,5,-0.97493,-0.22252,3,1.0,0.0,1,arterial,suburban,storm,8.84,1910,15.38,125.8,1.0,0,0,0,0,severe
1,0.25882,0.96593,4,-0.43388,-0.90097,8,-0.86603,-0.5,0,local,residential,rain,29.07,0,37.52,91.4,0.148,1,0,0,0,low
2,0.5,0.86603,5,-0.97493,-0.22252,8,-0.86603,-0.5,1,expressway,residential,snow,32.78,549,62.02,68.2,0.1257,0,0,0,0,moderate
17,-0.96593,-0.25882,3,0.43388,-0.90097,11,-0.5,0.86603,0,highway,suburban,clear,15.05,5984,91.69,93.5,1.0,0,1,0,0,severe
14,-0.5,-0.86603,1,0.78183,0.62349,11,-0.5,0.86603,0,expressway,suburban,rain,8.01,3511,95.5,163.8,0.8053,0,1,0,0,severe
7,0.96593,-0.25882,5,-0.97493,-0.22252,6,0.0,-1.0,1,highway,CBD,storm,30.28,817,11.8,105.4,0.8921,1,0,1,0,severe
9,0.70711,-0.70711,1,0.78183,0.62349,7,-0.5,-0.86603,0,highway,residential,rain,27.91,7357,78.3,63.0,0.9624,0,0,0,0,severe
7,0.96593,-0.25882,6,-0.78183,0.62349,12,-0.0,1.0,1,local,CBD,clear,6.67,945,35.53,99.5,1.0,0,0,0,0,severe
3,0.70711,0.70711,6,-0.78183,0.62349,11,-0.5,0.86603,1,highway,suburban,clear,22.48,1022,109.91,57.7,0.1687,0,0,0,0,low
13,-0.25882,-0.96593,0,0.0,1.0,3,1.0,0.0,0,expressway,CBD,snow,14.76,6689,45.1,67.7,0.908,0,0,0,1,severe
22,-0.5,0.86603,3,0.43388,-0.90097,4,0.86603,-0.5,0,expressway,suburban,storm,20.89,535,64.61,87.7,0.1914,0,0,0,0,moderate
21,-0.70711,0.70711,3,0.43388,-0.90097,12,-0.0,1.0,0,highway,airport,snow,5.39,2381,65.45,121.7,0.7692,0,0,0,0,severe
3,0.70711,0.70711,2,0.97493,-0.22252,8,-0.86603,-0.5,0,expressway,CBD,clear,30.05,972,115.15,49.1,0.2491,0,0,0,0,low
9,0.70711,-0.70711,2,0.97493,-0.22252,3,1.0,0.0,0,arterial,CBD,storm,15.5,2968,55.64,98.0,0.996,0,0,0,0,severe
8,0.86603,-0.5,0,0.0,1.0,10,-0.86603,0.5,0,arterial,suburban,fog,18.82,2905,45.6,148.7,1.0,0,0,1,0,severe
23,-0.25882,0.96593,2,0.97493,-0.22252,3,1.0,0.0,0,highway,CBD,storm,10.22,1235,93.35,98.4,0.1995,0,0,1,0,low
0,0.0,1.0,1,0.78183,0.62349,7,-0.5,-0.86603,0,arterial,CBD,clear,29.96,749,61.57,76.1,0.2406,0,0,0,0,low
3,0.70711,0.70711,5,-0.97493,-0.22252,1,0.5,0.86603,1,highway,airport,fog,7.9,332,92.11,51.4,0.1236,0,1,0,0,moderate
18,-1.0,-0.0,6,-0.78183,0.62349,8,-0.86603,-0.5,1,expressway,CBD,snow,30.75,5034,92.17,157.4,0.9943,0,0,0,0,severe
8,0.86603,-0.5,0,0.0,1.0,7,-0.5,-0.86603,0,arterial,CBD,storm,26.35,5695,14.44,144.8,0.9699,0,0,0,1,severe
13,-0.25882,-0.96593,6,-0.78183,0.62349,11,-0.5,0.86603,1,arterial,CBD,clear,15.2,1797,50.43,148.7,0.9903,1,0,1,0,severe
16,-0.86603,-0.5,1,0.78183,0.62349,6,0.0,-1.0,0,arterial,industrial,clear,32.32,2885,55.72,130.8,0.9935,0,1,0,0,severe
21,-0.70711,0.70711,4,-0.43388,-0.90097,10,-0.86603,0.5,0,highway,CBD,clear,20.21,372,40.77,55.3,0.7229,0,0,0,0,severe
17,-0.96593,-0.25882,4,-0.43388,-0.90097,1,0.5,0.86603,0,expressway,industrial,rain,8.09,8663,85.2,124.5,1.0,0,1,0,0,severe
22,-0.5,0.86603,1,0.78183,0.62349,4,0.86603,-0.5,0,arterial,residential,clear,18.65,496,61.52,56.5,0.4072,0,0,0,0,moderate
18,-1.0,-0.0,1,0.78183,0.62349,2,0.86603,0.5,0,highway,airport,clear,14.3,8391,98.76,89.4,1.0,0,1,1,0,severe
3,0.70711,0.70711,5,-0.97493,-0.22252,4,0.86603,-0.5,1,highway,industrial,storm,19.57,787,46.74,158.8,0.3935,0,0,0,1,low
18,-1.0,-0.0,5,-0.97493,-0.22252,1,0.5,0.86603,1,highway,CBD,fog,5.41,3904,70.21,152.3,1.0,0,0,0,0,severe
4,0.86603,0.5,5,-0.97493,-0.22252,1,0.5,0.86603,1,highway,CBD,snow,11.55,0,64.01,92.6,0.063,0,0,0,0,low
19,-0.96593,0.25882,4,-0.43388,-0.90097,8,-0.86603,-0.5,0,arterial,CBD,clear,32.46,2882,53.56,72.8,1.0,1,0,0,0,severe
8,0.86603,-0.5,6,-0.78183,0.62349,5,0.5,-0.86603,1,local,suburban,snow,23.11,1125,2.0,84.2,1.0,0,0,0,0,severe
17,-0.96593,-0.25882,2,0.97493,-0.22252,8,-0.86603,-0.5,0,expressway,CBD,rain,32.45,8645,79.71,86.3,1.0,0,0,0,0,severe
6,1.0,0.0,6,-0.78183,0.62349,12,-0.0,1.0,1,arterial,suburban,clear,14.86,615,66.54,148.6,0.5924,0,0,0,0,moderate
9,0.70711,-0.70711,0,0.0,1.0,4,0.86603,-0.5,0,local,suburban,snow,23.89,1210,24.42,69.1,0.9877,0,0,0,0,severe
2,0.5,0.86603,2,0.97493,-0.22252,1,0.5,0.86603,0,local,industrial,clear,4.34,592,47.98,108.9,0.2821,0,0,0,0,low
19,-0.96593,0.25882,4,-0.43388,-0.90097,9,-1.0,-0.0,0,local,CBD,fog,30.31,610,32.89,62.5,0.9843,0,0,0,0,severe
22,-0.5,0.86603,6,-0.78183,0.62349,6,0.0,-1.0,1,arterial,CBD,rain,29.45,257,51.3,75.0,0.214,0,1,0,0,low
6,1.0,0.0,6,-0.78183,0.62349,5,0.5,-0.86603,1,expressway,CBD,rain,21.49,2972,87.82,127.9,0.8937,0,0,0,0,severe
9,0.70711,-0.70711,5,-0.97493,-0.22252,11,-0.5,0.86603,1,local,industrial,fog,9.19,606,30.01,154.1,1.0,0,0,0,0,severe
14,-0.5,-0.86603,5,-0.97493,-0.22252,8,-0.86603,-0.5,1,local,residential,snow,28.22,375,25.11,99.5,0.5212,0,0,0,0,severe
20,-0.86603,0.5,3,0.43388,-0.90097,9,-1.0,-0.0,0,expressway,residential,clear,31.62,4040,110.75,65.7,0.9341,0,0,0,0,severe
11,0.25882,-0.96593,1,0.78183,0.62349,1,0.5,0.86603,0,local,CBD,storm,9.59,858,18.85,68.8,0.8796,0,0,0,0,severe
7,0.96593,-0.25882,4,-0.43388,-0.90097,12,-0.0,1.0,0,expressway,industrial,fog,11.08,7078,82.21,159.9,1.0,0,0,0,0,severe
23,-0.25882,0.96593,1,0.78183,0.62349,11,-0.5,0.86603,0,expressway,CBD,rain,12.27,1577,102.57,149.4,0.1373,0,1,0,0,moderate
18,-1.0,-0.0,3,0.43388,-0.90097,10,-0.86603,0.5,0,arterial,suburban,rain,18.31,3721,44.03,93.0,0.929,0,0,0,0,severe
9,0.70711,-0.70711,3,0.43388,-0.90097,9,-1.0,-0.0,0,local,airport,snow,21.93,1000,13.15,162.1,0.969,0,0,0,0,severe
7,0.96593,-0.25882,6,-0.78183,0.62349,8,-0.86603,-0.5,1,arterial,residential,fog,26.07,4823,74.63,86.2,0.9206,0,0,0,0,severe
22,-0.5,0.86603,2,0.97493,-0.22252,1,0.5,0.86603,0,expressway,CBD,clear,6.35,604,118.51,93.2,0.2404,0,0,0,0,moderate
23,-0.25882,0.96593,3,0.43388,-0.90097,6,0.0,-1.0,0,arterial,industrial,rain,30.33,342,67.27,151.1,0.3211,0,0,0,0,low
18,-1.0,-0.0,5,-0.97493,-0.22252,6,0.0,-1.0,1,highway,suburban,fog,27.72,4775,68.96,156.3,1.0,0,0,1,0,severe
2,0.5,0.86603,6,-0.78183,0.62349,10,-0.86603,0.5,1,expressway,CBD,clear,19.23,131,120.25,92.4,0.1218,0,1,0,0,moderate
3,0.70711,0.70711,0,0.0,1.0,9,-1.0,-0.0,0,arterial,airport,clear,31.34,1101,58.33,151.1,0.3423,0,0,0,0,low
6,1.0,0.0,2,0.97493,-0.22252,7,-0.5,-0.86603,0,expressway,CBD,clear,32.14,3551,93.21,122.4,1.0,0,0,0,0,severe
13,-0.25882,-0.96593,0,0.0,1.0,7,-0.5,-0.86603,0,local,suburban,snow,26.9,407,31.99,60.7,1.0,0,0,1,0,severe
